               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,            0.044328,            0.026396,           0.0071233,              0.4875,             0.66667,             0.61042,             0.19727,            0.065182,            0.013547,            0.016809,            0.006403,            0.006403,            0.006403
                 111,            0.049151,            0.034474,            0.005326,             0.85702,             0.79004,             0.83041,             0.44707,            0.049629,            0.014932,            0.015258,             0.00637,             0.00637,             0.00637
                 112,            0.043326,            0.024441,           0.0051671,             0.85702,             0.79004,             0.83041,             0.44707,            0.049629,            0.014932,            0.015258,            0.006337,            0.006337,            0.006337
                 113,            0.039669,            0.025107,           0.0054363,             0.93535,             0.83333,             0.83045,             0.38431,            0.066553,            0.012775,            0.015965,            0.006304,            0.006304,            0.006304
                 114,            0.035178,            0.024498,           0.0075097,             0.93535,             0.83333,             0.83045,             0.38431,            0.066553,            0.012775,            0.015965,            0.006271,            0.006271,            0.006271
                 115,            0.041381,            0.023043,           0.0046408,             0.81909,             0.83333,             0.74792,             0.38367,            0.052596,            0.014499,            0.015078,            0.006238,            0.006238,            0.006238
                 116,            0.042772,            0.025042,           0.0044304,             0.81909,             0.83333,             0.74792,             0.38367,            0.052596,            0.014499,            0.015078,            0.006205,            0.006205,            0.006205
                 117,            0.053726,            0.025259,            0.031472,             0.81863,             0.83333,             0.83054,             0.36942,            0.062903,            0.012779,            0.016163,            0.006172,            0.006172,            0.006172
                 118,            0.041638,            0.027264,           0.0081587,             0.81863,             0.83333,             0.83054,             0.36942,            0.062903,            0.012779,            0.016163,            0.006139,            0.006139,            0.006139
                 119,            0.037207,            0.025296,           0.0068218,              0.5422,             0.66667,             0.61977,             0.27056,            0.066833,            0.012692,            0.015559,            0.006106,            0.006106,            0.006106
                 120,            0.042966,            0.025304,           0.0075885,              0.5422,             0.66667,             0.61977,             0.27056,            0.066833,            0.012692,            0.015559,            0.006073,            0.006073,            0.006073
                 121,            0.057429,            0.019945,           0.0049383,             0.96187,             0.83333,             0.83074,             0.52202,            0.061455,            0.012694,            0.013704,             0.00604,             0.00604,             0.00604
                 122,            0.042066,            0.023837,           0.0073619,             0.96187,             0.83333,             0.83074,             0.52202,            0.061455,            0.012694,            0.013704,            0.006007,            0.006007,            0.006007
                 123,            0.040287,            0.028868,            0.013448,             0.77774,             0.83333,             0.77581,             0.24784,            0.075108,             0.01174,            0.012966,            0.005974,            0.005974,            0.005974
                 124,            0.043838,             0.02044,           0.0046834,             0.77774,             0.83333,             0.77581,             0.24784,            0.075108,             0.01174,            0.012966,            0.005941,            0.005941,            0.005941
                 125,            0.038523,            0.022321,           0.0040867,             0.93352,             0.83333,              0.8307,             0.42624,            0.057981,            0.013739,            0.012342,            0.005908,            0.005908,            0.005908
                 126,             0.04013,            0.019467,           0.0043257,             0.93352,             0.83333,              0.8307,             0.42624,            0.057981,            0.013739,            0.012342,            0.005875,            0.005875,            0.005875
                 127,            0.047322,            0.018387,           0.0054633,             0.78048,             0.47773,             0.59678,              0.3095,            0.068899,            0.012868,             0.01337,            0.005842,            0.005842,            0.005842
                 128,            0.033144,            0.020329,           0.0047958,             0.78048,             0.47773,             0.59678,              0.3095,            0.068899,            0.012868,             0.01337,            0.005809,            0.005809,            0.005809
                 129,            0.038232,            0.022738,           0.0061629,             0.67854,             0.63354,             0.68628,             0.40984,            0.054495,            0.013623,            0.015097,            0.005776,            0.005776,            0.005776
                 130,            0.034717,            0.028656,           0.0057553,             0.67854,             0.63354,             0.68628,             0.40984,            0.054495,            0.013623,            0.015097,            0.005743,            0.005743,            0.005743
                 131,            0.041978,            0.026135,            0.013481,             0.96614,             0.65901,             0.66965,             0.35813,            0.065271,            0.012681,              0.0186,             0.00571,             0.00571,             0.00571
                 132,            0.032544,            0.020822,           0.0028366,             0.96614,             0.65901,             0.66965,             0.35813,            0.065271,            0.012681,              0.0186,            0.005677,            0.005677,            0.005677
                 133,            0.042239,            0.034333,           0.0057186,             0.77708,             0.68589,             0.77561,             0.39639,            0.050421,            0.014162,            0.020154,            0.005644,            0.005644,            0.005644
                 134,            0.050851,            0.025153,            0.003706,             0.77708,             0.68589,             0.77561,             0.39639,            0.050421,            0.014162,            0.020154,            0.005611,            0.005611,            0.005611
                 135,            0.052875,            0.025968,           0.0045164,             0.75992,             0.72435,             0.77578,             0.39816,            0.066022,            0.012677,            0.020304,            0.005578,            0.005578,            0.005578
